impl,profile,trace_path,N,seed,elapsed_ms,ops_total,inserts,findmins,deletemins,extractmins
quadratic_oracle,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,10.2668,2048,1024,0,0,1024
binary_heap,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,0.6091,2048,1024,0,0,1024
binomial_queue,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,4.6963,2048,1024,0,0,1024
linear_base,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,0.0886,2048,1024,0,0,1024
binary_heap,batch_then_drain,batch_then_drain_N_1048576_S_23.trace,1048576,23,1322.26,2097152,1048576,0,0,1048576
binomial_queue,batch_then_drain,batch_then_drain_N_1048576_S_23.trace,1048576,23,10366.6,2097152,1048576,0,0,1048576
linear_base,batch_then_drain,batch_then_drain_N_1048576_S_23.trace,1048576,23,92.1045,2097152,1048576,0,0,1048576
binary_heap,batch_then_drain,batch_then_drain_N_131072_S_23.trace,131072,23,77.0954,262144,131072,0,0,131072
binomial_queue,batch_then_drain,batch_then_drain_N_131072_S_23.trace,131072,23,748.352,262144,131072,0,0,131072
linear_base,batch_then_drain,batch_then_drain_N_131072_S_23.trace,131072,23,11.3207,262144,131072,0,0,131072
quadratic_oracle,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.0035,26,13,0,0,13
binary_heap,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.005,26,13,0,0,13
binomial_queue,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.0237,26,13,0,0,13
linear_base,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.0018,26,13,0,0,13
quadratic_oracle,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,1395.52,32768,16384,0,0,16384
binary_heap,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,8.0863,32768,16384,0,0,16384
binomial_queue,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,76.3418,32768,16384,0,0,16384
linear_base,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,1.447,32768,16384,0,0,16384
quadratic_oracle,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,24.3109,4096,2048,0,0,2048
binary_heap,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,1.4195,4096,2048,0,0,2048
binomial_queue,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,9.8647,4096,2048,0,0,2048
linear_base,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,0.3539,4096,2048,0,0,2048
binary_heap,batch_then_drain,batch_then_drain_N_262144_S_23.trace,262144,23,157.74,524288,262144,0,0,262144
binomial_queue,batch_then_drain,batch_then_drain_N_262144_S_23.trace,262144,23,1762.25,524288,262144,0,0,262144
linear_base,batch_then_drain,batch_then_drain_N_262144_S_23.trace,262144,23,32.6503,524288,262144,0,0,262144
quadratic_oracle,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,5691.81,65536,32768,0,0,32768
binary_heap,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,18.6508,65536,32768,0,0,32768
binomial_queue,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,183.118,65536,32768,0,0,32768
linear_base,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,3.8847,65536,32768,0,0,32768
quadratic_oracle,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,99.3888,8192,4096,0,0,4096
binary_heap,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,2.6298,8192,4096,0,0,4096
binomial_queue,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,19.4515,8192,4096,0,0,4096
linear_base,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,0.7315,8192,4096,0,0,4096
binary_heap,batch_then_drain,batch_then_drain_N_524288_S_23.trace,524288,23,373.044,1048576,524288,0,0,524288
binomial_queue,batch_then_drain,batch_then_drain_N_524288_S_23.trace,524288,23,3898.02,1048576,524288,0,0,524288
linear_base,batch_then_drain,batch_then_drain_N_524288_S_23.trace,524288,23,46.1565,1048576,524288,0,0,524288
binary_heap,batch_then_drain,batch_then_drain_N_65536_S_23.trace,65536,23,35.9779,131072,65536,0,0,65536
binomial_queue,batch_then_drain,batch_then_drain_N_65536_S_23.trace,65536,23,350.89,131072,65536,0,0,65536
linear_base,batch_then_drain,batch_then_drain_N_65536_S_23.trace,65536,23,5.6366,131072,65536,0,0,65536
quadratic_oracle,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,356.929,16384,8192,0,0,8192
binary_heap,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,3.7712,16384,8192,0,0,8192
binomial_queue,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,36.4413,16384,8192,0,0,8192
linear_base,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,1.3788,16384,8192,0,0,8192
