impl,profile,trace_path,N,seed,elapsed_ms,ops_total,inserts,findmins,deletemins,extractmins
quadratic_oracle,huffman_coding,huffman_coding_N_1024_S_23.trace,1024,23,12.7978,4093,2047,0,0,2046
binary_heap,huffman_coding,huffman_coding_N_1024_S_23.trace,1024,23,1.1814,4093,2047,0,0,2046
binomial_queue,huffman_coding,huffman_coding_N_1024_S_23.trace,1024,23,6.3871,4093,2047,0,0,2046
linear_base,huffman_coding,huffman_coding_N_1024_S_23.trace,1024,23,0.4107,4093,2047,0,0,2046
binary_heap,huffman_coding,huffman_coding_N_1048576_S_23.trace,1048576,23,1432.49,4194301,2097151,0,0,2097150
binomial_queue,huffman_coding,huffman_coding_N_1048576_S_23.trace,1048576,23,13686.9,4194301,2097151,0,0,2097150
linear_base,huffman_coding,huffman_coding_N_1048576_S_23.trace,1048576,23,198.028,4194301,2097151,0,0,2097150
binary_heap,huffman_coding,huffman_coding_N_131072_S_23.trace,131072,23,261.151,524285,262143,0,0,262142
binomial_queue,huffman_coding,huffman_coding_N_131072_S_23.trace,131072,23,1840.57,524285,262143,0,0,262142
linear_base,huffman_coding,huffman_coding_N_131072_S_23.trace,131072,23,36.8,524285,262143,0,0,262142
quadratic_oracle,huffman_coding,huffman_coding_N_13_S_23.trace,13,23,0.0119,49,25,0,0,24
binary_heap,huffman_coding,huffman_coding_N_13_S_23.trace,13,23,0.0107,49,25,0,0,24
binomial_queue,huffman_coding,huffman_coding_N_13_S_23.trace,13,23,0.0771,49,25,0,0,24
linear_base,huffman_coding,huffman_coding_N_13_S_23.trace,13,23,0.0051,49,25,0,0,24
quadratic_oracle,huffman_coding,huffman_coding_N_16384_S_23.trace,16384,23,5361.17,65533,32767,0,0,32766
binary_heap,huffman_coding,huffman_coding_N_16384_S_23.trace,16384,23,28.3591,65533,32767,0,0,32766
binomial_queue,huffman_coding,huffman_coding_N_16384_S_23.trace,16384,23,189.975,65533,32767,0,0,32766
linear_base,huffman_coding,huffman_coding_N_16384_S_23.trace,16384,23,4.8906,65533,32767,0,0,32766
quadratic_oracle,huffman_coding,huffman_coding_N_2048_S_23.trace,2048,23,80.3458,8189,4095,0,0,4094
binary_heap,huffman_coding,huffman_coding_N_2048_S_23.trace,2048,23,3.269,8189,4095,0,0,4094
binomial_queue,huffman_coding,huffman_coding_N_2048_S_23.trace,2048,23,18.5248,8189,4095,0,0,4094
linear_base,huffman_coding,huffman_coding_N_2048_S_23.trace,2048,23,0.3404,8189,4095,0,0,4094
binary_heap,huffman_coding,huffman_coding_N_262144_S_23.trace,262144,23,563.911,1048573,524287,0,0,524286
binomial_queue,huffman_coding,huffman_coding_N_262144_S_23.trace,262144,23,4067.51,1048573,524287,0,0,524286
linear_base,huffman_coding,huffman_coding_N_262144_S_23.trace,262144,23,81.2331,1048573,524287,0,0,524286
quadratic_oracle,huffman_coding,huffman_coding_N_32768_S_23.trace,32768,23,10809.6,131069,65535,0,0,65534
binary_heap,huffman_coding,huffman_coding_N_32768_S_23.trace,32768,23,36.3835,131069,65535,0,0,65534
binomial_queue,huffman_coding,huffman_coding_N_32768_S_23.trace,32768,23,252.651,131069,65535,0,0,65534
linear_base,huffman_coding,huffman_coding_N_32768_S_23.trace,32768,23,5.5487,131069,65535,0,0,65534
quadratic_oracle,huffman_coding,huffman_coding_N_4096_S_23.trace,4096,23,177.364,16381,8191,0,0,8190
binary_heap,huffman_coding,huffman_coding_N_4096_S_23.trace,4096,23,5.0764,16381,8191,0,0,8190
binomial_queue,huffman_coding,huffman_coding_N_4096_S_23.trace,4096,23,25.6066,16381,8191,0,0,8190
linear_base,huffman_coding,huffman_coding_N_4096_S_23.trace,4096,23,1.4104,16381,8191,0,0,8190
binary_heap,huffman_coding,huffman_coding_N_524288_S_23.trace,524288,23,815.62,2097149,1048575,0,0,1048574
binomial_queue,huffman_coding,huffman_coding_N_524288_S_23.trace,524288,23,8240.2,2097149,1048575,0,0,1048574
linear_base,huffman_coding,huffman_coding_N_524288_S_23.trace,524288,23,156.066,2097149,1048575,0,0,1048574
binary_heap,huffman_coding,huffman_coding_N_65536_S_23.trace,65536,23,112.501,262141,131071,0,0,131070
binomial_queue,huffman_coding,huffman_coding_N_65536_S_23.trace,65536,23,812.986,262141,131071,0,0,131070
linear_base,huffman_coding,huffman_coding_N_65536_S_23.trace,65536,23,19.9969,262141,131071,0,0,131070
quadratic_oracle,huffman_coding,huffman_coding_N_8192_S_23.trace,8192,23,1002.65,32765,16383,0,0,16382
binary_heap,huffman_coding,huffman_coding_N_8192_S_23.trace,8192,23,10.4517,32765,16383,0,0,16382
binomial_queue,huffman_coding,huffman_coding_N_8192_S_23.trace,8192,23,85.5479,32765,16383,0,0,16382
linear_base,huffman_coding,huffman_coding_N_8192_S_23.trace,8192,23,1.8619,32765,16383,0,0,16382
